REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
REF,9548584355158756459,1069,120.06724548339844,459.5797119140625,3.05466890335083
REF,9548584355158756459,1071,121.6154556274414,458.1011962890625,3.0411713123321533
REF,9548584355158756459,1072,122.7785415649414,456.9910888671875,3.0316288471221924
REF,9548584355158756459,1073,124.32408142089844,455.5165710449219,3.019816875457764
REF,9548584355158756459,1074,125.48734283447266,454.4075012207031,3.011530876159668
REF,9548584355158756459,1075,126.65320587158205,453.296875,3.003936767578125
REF,9548584355158756459,1076,127.81925201416016,452.1865234375,2.9972681999206543
REF,9548584355158756459,1077,129.37301635742188,450.7073669433594,2.9895665645599365
REF,9548584355158756459,1078,130.53955078125,449.5975036621094,2.984354257583618
REF,9548584355158756459,1079,131.70860290527344,448.4851989746094,2.9794201850891118
REF,9548584355158756459,1081,133.2655792236328,447.005126953125,2.972893238067627
REF,9548584355158756459,1082,134.4368133544922,445.8917236328125,2.966873407363892
REF,9548584355158756459,1083,135.60780334472656,444.7789611816406,2.959263801574707
REF,9548584355158756459,1084,136.77783203125,443.6676330566406,2.950380086898804
REF,9548584355158756459,1085,138.34243774414062,442.1822814941406,2.937783479690552
REF,9548584355158756459,1086,139.5146942138672,441.0704040527344,2.927978515625
REF,9548584355158756459,1087,140.6891632080078,439.9566345214844,2.917520523071289
REF,9548584355158756459,1088,141.8649444580078,438.8421325683594,2.9060449600219727
REF,9548584355158756459,1089,143.04208374023438,437.7268981933594,2.8944907188415527
REF,9548584355158756459,1091,144.21995544433594,436.6111755371094,2.883760452270508
REF,9548584355158756459,1092,145.7909698486328,435.1233825683594,2.871467113494873
REF,9548584355158756459,1093,146.9692840576172,434.0081481933594,2.86352276802063
REF,9548584355158756459,1094,148.5452880859375,432.5171813964844,2.8534750938415527
REF,9548584355158756459,1095,149.7247314453125,431.4014587402344,2.84643816947937
REF,9548584355158756459,1096,150.9090576171875,430.2813415527344,2.84009051322937
