REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
RIGHT,14023301428294605882,1572,589.7338256835938,-168.0529022216797,3.1164021492004395
RIGHT,14023301428294605882,1075,375.5399475097656,189.44012451171875,2.295044183731079
RIGHT,14023301428294605882,1076,375.5461120605469,189.0380096435547,2.300154685974121
RIGHT,14023301428294605882,1077,375.5338439941406,188.6411895751953,2.30540132522583
RIGHT,14023301428294605882,1078,375.5034790039063,188.25067138671875,2.3109593391418457
RIGHT,14023301428294605882,1079,375.4553833007813,187.86610412597656,2.316391468048096
RIGHT,14023301428294605882,1080,375.39068603515625,187.4898681640625,2.320818901062012
RIGHT,14023301428294605882,1081,375.2798156738281,187.00198364257807,2.3248560428619385
RIGHT,14023301428294605882,1082,375.18017578125,186.64773559570312,2.325500965118408
RIGHT,14023301428294605882,1083,375.06829833984375,186.30648803710935,2.323070526123047
RIGHT,14023301428294605882,1084,374.9439086914063,185.97866821289065,2.320096015930176
RIGHT,14023301428294605882,1085,374.7606506347656,185.5638885498047,2.319298267364502
RIGHT,14023301428294605882,1086,374.6120910644531,185.2695159912109,2.32230806350708
RIGHT,14023301428294605882,1314,373.5648193359375,51.84304428100586,3.1166861057281494
RIGHT,14023301428294605882,1315,374.3001403808594,50.70207214355469,3.118511199951172
RIGHT,14023301428294605882,1316,374.8597717285156,49.86193084716797,3.119280338287353
RIGHT,14023301428294605882,1317,375.4264526367188,49.03487396240234,3.1196048259735107
RIGHT,14023301428294605882,1318,376.1932373046875,47.95264053344727,3.1208250522613525
RIGHT,14023301428294605882,1319,376.77581787109375,47.1569938659668,3.1227848529815674
RIGHT,14023301428294605882,1395,427.3554382324219,-1.874910831451416,3.29140043258667
RIGHT,14023301428294605882,1397,429.1736145019531,-3.402728080749512,3.283884048461914
RIGHT,14023301428294605882,1400,431.8041076660156,-5.6231608390808105,3.273921012878418
RIGHT,14023301428294605882,1401,432.8507080078125,-6.509202003479004,3.270331621170044
RIGHT,14023301428294605882,1402,433.643310546875,-7.181987285614014,3.267613887786865
RIGHT,14023301428294605882,1406,437.1078796386719,-10.132608413696287,3.250279426574707
RIGHT,14023301428294605882,1411,441.6946411132813,-14.067282676696776,3.218949794769287
RIGHT,14023301428294605882,1417,447.1642456054688,-18.811054229736328,3.201366424560547
RIGHT,14023301428294605882,1419,449.1012878417969,-20.509113311767575,3.1947474479675293
RIGHT,14023301428294605882,1420,449.9372253417969,-21.24527359008789,3.1927051544189453
RIGHT,14023301428294605882,1093,373.2781372070313,183.2138214111328,2.319286108016968
RIGHT,14023301428294605882,1094,373.10107421875,182.96897888183597,2.321685552597046
