lap_index,sector_time,avg_line_distance,dist_to_apex1,dist_to_apex2,avg_brake_pressure,avg_throttle_pressure,peak_brake_pressure,peak_throttle_pressure,brake_x,brake_y,brake_pressure,turn_x,turn_y,steering_angle
238,10.9,1.1351125760095542,2.082149039829301,2.82020266391095,0.07236527826437013,0.8239697977851094,1.0,1.0,319.9695717979848,268.90667046384726,0.7939767554062677,370.61619481981273,213.35966685293613,0.2154810190612453
379,11.745,1.3534847673335502,3.0591811773100264,2.1318881631669493,0.11896742347100207,0.835857117770952,1.0,1.0,330.37957458458743,258.08548349897393,0.9754882161170728,376.99446885308254,198.63348561951693,0.4214967465846762
865,10.71,1.4195242827191854,0.2660960506379123,1.2814313571790117,0.11928224202135454,0.8631821139341558,1.0,1.0,326.9203953775236,261.7036050790504,1.0,369.806583292784,78.08083993219145,-0.2036687476158165
866,10.861,1.301678986606238,3.2553718697046903,1.518806374589114,0.1393715482141259,0.8597492218528168,1.0,1.0,311.4948955476485,277.41292696509237,1.0,367.8613088788777,110.2840207120798,-0.2022199428755871
336,10.711,1.3743669658468534,3.5212876466652197,0.3081136053250687,0.10501503263379558,0.8811095701640903,1.0,1.0,309.20420355902775,277.9171202256944,1.0,367.17650253645337,108.31779115917928,-0.2010902215910726
255,10.561,1.355070720688986,0.28877621790246377,0.1045454245624015,0.11100831363117378,0.871480944518389,1.0,1.0,332.53888139067215,256.0018402351375,1.0,375.2308438182821,192.71348644246524,0.2538791229668267
461,10.56,1.5556503768459442,2.7052896808310334,0.4368747092314316,0.11756220844236215,0.869828895248393,1.0,1.0,373.65938702795313,207.89217859016287,0.4512094405734236,373.65938702795313,207.89217859016287,0.360190877975409
91,10.41,1.090285352814915,1.145704907242578,1.184192000219713,0.10281561087875571,0.8682954776328408,1.0,1.0,342.13085246353694,245.77430845850665,1.0,377.49486403873135,185.23721849313975,0.4165684300484961
252,11.395,1.5613058655880356,4.090030851205955,0.6147572710461524,0.14623404477034152,0.7805141541243034,1.0,1.0,308.06695758631633,283.94339899250025,1.0,361.2256204780345,225.2236264021832,0.2530350484618651
1009,12.450000000000001,6.185009809480667,1.526034458246144,11.864417301326737,0.17384385371111494,0.7161820251637818,1.0,1.0,348.64515956937083,230.9360270395782,0.9146118029233616,348.64515956937083,230.9360270395782,0.2069513391599828
430,123.878,2.9502808533706717,4.009199102442674,0.13906701091871823,0.06461470123576396,0.6910352690023461,1.0,1.0,300.11959177871546,284.3434234834344,0.5623860795532882,478.86923079294655,-40.972146935222426,-0.2511955268395135
653,17.9,5.380502840094295,0.7018065257883167,5.019093014204197,0.06697964860200614,0.3487081194387804,0.5230193138122559,0.4542610645294189,380.3439717785319,180.4617692651344,0.5221263718529882,380.1859536763697,107.3783098769395,-0.2777727887433985
1039,10.7,1.0681669995241798,1.3395235613068022,2.903272779618288,0.13043705798225902,0.8776835717578888,1.0,1.0,357.0652316657972,229.56031145347768,1.0,377.84515701169374,162.97265873549273,0.282451193661465
451,10.411,0.8152460142377059,0.43908289715080817,0.22209762423079354,0.0976644610598275,0.8640934522499014,1.0,1.0,304.1659458222896,282.78014150700005,0.2036634110002413,374.4019463272884,198.7107985931802,0.2901863370811569
354,10.695,2.887762010938518,14.064297044481089,0.7951326650626829,0.08250157524430532,0.8267016080190913,1.0,1.0,306.9698986505611,281.36626502124153,0.9798460957618272,366.72046908303406,124.60940584997913,-0.210839097523343
37,11.293999999999999,1.2052305446412255,2.1452155042280885,0.19888677001580676,0.09574916728319721,0.8237205748679982,1.0,1.0,354.0269200588044,233.61519811362808,1.0,359.8468573362848,226.6771184364675,0.2451229333533287
36,11.845,1.5912045134199295,5.031693000290211,1.4540893255297014,0.0716463724496029,0.7333792344499451,0.8999999761581421,1.0,317.58449503577344,272.19868928619206,0.6539390787450782,358.4586379199249,232.4331258474103,0.2688443891923154
902,10.51,1.0059141365929227,1.9960772206152007,2.2724096132463756,0.10168648924670874,0.8788040677466111,1.0,1.0,307.9839740341589,279.5348409753164,1.0,364.46487560239,222.81030097726648,0.2524333383454698
293,10.561,1.033883988350234,0.9885618286757603,1.7238280836963644,0.08874211427196402,0.858072184454594,1.0,1.0,301.3285609597178,285.60147651761883,0.9426336375488916,360.4251520630237,227.27176528399153,0.2065643474611038
753,11.061,1.00838795094214,1.6169800716901388,0.5591279526014392,0.09911906705553096,0.7917170966884769,0.9571233987808228,1.0,339.7529821495148,247.63272283269663,0.7362500353328146,377.37368518927417,190.69543462060517,0.4926755967977884
258,10.444,0.941049233021983,0.27049505061399876,0.11029772446870252,0.09068642563171184,0.849544874053378,1.0,1.0,310.65148811774804,276.53705622297207,1.0,375.5826691677307,192.7904671645026,0.3844022778523959
1049,11.05,1.5141002014707392,2.701293697135286,1.6335543279734783,0.10371903831798208,0.8185979995853493,1.0,0.9407339692115784,358.935461288594,228.61194147890225,1.0,358.935461288594,228.61194147890225,0.2588061685453615
172,11.411000000000001,1.1552558102501496,4.971908520278831,0.09875708350774215,0.1145675883660908,0.8731914335881183,1.0,1.0,322.0471554375832,265.2965227111584,1.0,375.61736457411854,205.6028582269903,0.3724775040370881
218,10.360000000000001,1.007393494464037,0.513010683795434,0.5243053153099864,0.09933116808154409,0.8495262122457318,1.0,1.0,325.3372289455684,262.9446454886175,1.0,371.94289551822806,206.1318958464743,0.2610480417672277
1008,13.383,3.787254614080304,2.346161738863545,3.613624200235416,0.09930187437182185,0.692527304125024,0.6913320913231668,1.0,320.99630145314717,262.76554813276084,0.6472159573309479,380.5071019291728,179.20494945558727,0.4653424672967196
256,11.294,1.0844607608797212,1.078440804842748,0.21949726818520268,0.11300744667908388,0.8009536586548605,1.0,1.0,350.40745979247276,238.50421674136504,1.0,379.45645958177573,169.69275897058162,0.2949548765324916
128,10.411000000000001,0.7905987877970105,1.3914373728979101,0.11415709354443801,0.09004047502816209,0.8559749711725649,1.0,1.0,359.0363774847972,228.71582889961655,0.2331155527976054,369.52309158588207,86.22175005518397,-0.2089466563800519
559,10.61,1.3554033407218091,2.4522367092077855,1.8003601040556358,0.10724775083242848,0.8703101848391364,1.0,1.0,349.6490232506425,239.1594341912116,1.0,377.5680372234024,193.9416560669925,0.4370568465826257
25,11.261,0.9267822858592595,4.618070062040311,0.13208593369585397,0.1369439770469607,0.8606023923063132,1.0,1.0,348.86969053448865,239.79229417982424,1.0,380.7599572277792,171.19891926113473,0.5630275291327148
97,11.895999999999999,5.0524516575965475,22.445694692044867,0.6137301843627495,0.07204877881706752,0.8449848975987018,0.8999999761581421,1.0,317.61440719413446,272.229222313762,0.8999999761581421,349.2799095661288,205.48221368800424,-0.3488346724324726
386,11.0,0.8917624540346275,1.0452311140808521,0.29943495327945524,0.09474062034888993,0.8049888433352996,1.0,1.0,299.47266825791525,288.0017621425116,0.3447550964838065,361.44216033948294,226.88095399690047,0.2025196943406182
647,10.711,1.030439189544809,1.2634643445665859,0.6045653271723341,0.10217782066816897,0.8631197079702578,1.0,1.0,315.7271114861959,271.7128561756152,1.0,370.2311772238811,210.10735443140024,0.2080850574323358
163,10.809999999999999,1.37940260705557,0.6897943697012799,0.8430629478062557,0.11341588164094928,0.8483821424980054,1.0,1.0,338.31994009779993,250.46775172446252,1.0,375.1461275544253,190.20536545860767,0.5864711172512915
750,14.100000000000001,1.7387685769554406,1.2394553326879627,3.4269589803969254,0.004186337014104045,0.33736887244302016,0.0876948176891851,0.6350346803665161,,,0.0,,,0.0
291,10.444,0.8829156939849264,1.0937316596450313,1.2098326883862622,0.10276959396873792,0.8768551271887584,1.0,1.0,324.43510664535256,263.4496620270796,1.0,368.4700732394192,215.45503763008264,0.326674362880136
803,10.51,0.8890861135671354,2.2367387401386507,0.9358593726687817,0.09858915817341955,0.8674313681402908,1.0,1.0,351.5883894257378,238.28607997658227,1.0,375.95288372726026,199.8552611270522,0.3926645810924632
342,11.511,2.1418816385620754,8.772692313420617,9.848397716012867,0.06561714507468185,0.6303002598286899,0.4820245675493085,0.9517967700958252,316.00213205747366,271.9977206137527,0.3492351606207986,369.8300723433949,215.4144781974101,0.3821042318915884
669,11.795,1.128361024121259,5.352162459482157,0.11408902252478663,0.15223532771661674,0.7993154054651892,1.0,1.0,364.087054111632,225.2906489793392,1.0,364.087054111632,225.2906489793392,0.2646837109958239
20,10.894,1.178582036359909,2.7746805507765187,0.6386855838774385,0.1178434315215533,0.8829929663690333,1.0,1.0,353.42006858255,235.86375920857407,1.0,378.45486291295185,190.70303358024353,0.4304642677304388
41,10.9,2.732753107813799,1.0767763559080124,2.543231888421634,0.021420512835469297,0.727851557594857,0.2399645194702357,0.9308613538742064,370.0339960760456,204.17336618311336,0.2326061404284431,372.8495638364062,196.78927386348744,0.5159762211563182
56,68.944,1.8347636227686837,5.391349859475694,1.5595912524383464,0.06338785505057379,0.9089260730326174,1.0,1.0,340.465044424898,245.49124291755032,0.3914415375162187,370.966097639779,187.76775558531295,0.2589125030108745
1073,11.433,1.6661879771424823,0.9951809121215609,2.8265035237045844,0.022701067027239067,0.5480285025449382,0.1381072405267429,1.0,,,0.0,378.8596889083372,159.4002659581045,0.5295971867162144
